,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
130,130,2338,37.93317212,19.90623606,0.40901453,a,5,0.382729867,2.39790633,20.64201386,2.338,-0.05990633,1.837668184
131,131,2388,33.32337666,21.70892967,0.372589368,a,5,0.382729867,2.39790633,20.64201386,2.388,-0.00990633,1.61434717
132,132,2360,37.67982166,22.76478849,0.375873717,a,5,0.382729867,2.39790633,20.64201386,2.36,-0.03790633,1.82539465
133,133,2383,34.08026236,24.00770792,0.377186336,a,5,0.382729867,2.39790633,20.64201386,2.383,-0.01490633,1.651014411
134,134,2388,33.48947762,24.7825198,0.364871017,a,5,0.382729867,2.39790633,20.64201386,2.388,-0.00990633,1.622393912
135,135,2452,22.08442453,25.40444536,0.409646109,a,5,0.382729867,2.39790633,20.64201386,2.452,0.05409367,1.06987742
136,136,2339,40.82856367,25.18311064,0.366307033,a,5,0.382729867,2.39790633,20.64201386,2.339,-0.05890633,1.977935096
137,137,2480,15.90565461,26.16095145,0.377766658,a,5,0.382729867,2.39790633,20.64201386,2.48,0.08209367,0.770547618
138,138,2265,-5,25.5576987,0.371892089,a,5,0.382729867,2.39790633,20.64201386,2.265,-0.13290633,-0.242224428
139,139,2136,-5,23.86004877,0.372236407,a,5,0.382729867,2.39790633,20.64201386,2.136,-0.26190633,-0.242224428
140,140,2461,17.75588388,22.34109883,0.350382346,a,5,0.382729867,2.39790633,20.64201386,2.461,0.06309367,0.860181763
141,141,2415,28.24859365,22.11183808,0.387821536,a,5,0.382729867,2.39790633,20.64201386,2.415,0.01709367,1.368499888
142,142,2363,36.14950573,22.40406454,0.398014316,a,5,0.382729867,2.39790633,20.64201386,2.363,-0.03490633,1.75125867
143,143,2406,29.92281906,23.02885732,0.365889478,a,5,0.382729867,2.39790633,20.64201386,2.406,0.00809367,1.449607546
144,144,2396,31.65502617,23.32859479,0.385882669,a,5,0.382729867,2.39790633,20.64201386,2.396,-0.00190633,1.533524121
145,145,2336,39.37965753,23.67552943,0.389827013,a,5,0.382729867,2.39790633,20.64201386,2.336,-0.06190633,1.907743004
146,146,2371,36.1669712,24.30369455,0.37372682,a,5,0.382729867,2.39790633,20.64201386,2.371,-0.02690633,1.752104782
147,147,2378,35.14822937,24.75997442,0.37032343,a,5,0.382729867,2.39790633,20.64201386,2.378,-0.01990633,1.702751951
148,148,2511,9.570680479,25.14472461,0.355543574,a,5,0.382729867,2.39790633,20.64201386,2.511,0.11309367,0.463650521
149,149,2281,-5,24.58850875,0.36348964,a,5,0.382729867,2.39790633,20.64201386,2.281,-0.11690633,-0.242224428
150,150,2205,-5,23.56821534,0.320564315,a,5,0.382729867,2.39790633,20.64201386,2.205,-0.19290633,-0.242224428
151,151,2539,14.01483648,0,0.518368207,b,1,0.435678665,2.413634942,18.71684457,2.539,0.125365058,0.748782009
152,152,2498,19.29207487,14.01483648,0.689364206,b,1,0.435678665,2.413634942,18.71684457,2.498,0.084365058,1.030733295
153,153,2524,17.68975517,16.65345568,0.702685748,b,1,0.435678665,2.413634942,18.71684457,2.524,0.110365058,0.945124864
154,154,2029,-5,16.99888884,0.698149777,b,1,0.435678665,2.413634942,18.71684457,2.029,-0.384634942,-0.267139046
155,155,2367,25.38180045,11.49916663,0.69566549,b,1,0.435678665,2.413634942,18.71684457,2.367,-0.046634942,1.356093991
156,156,2500,19.14773098,14.27569339,0.700332623,b,1,0.435678665,2.413634942,18.71684457,2.5,0.086365058,1.023021317
157,157,2521,17.88906102,15.08769966,0.715991114,b,1,0.435678665,2.413634942,18.71684457,2.521,0.107365058,0.955773338
158,158,2394,24.28679451,15.48789414,0.707024992,b,1,0.435678665,2.413634942,18.71684457,2.394,-0.019634942,1.297590222
