,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
94,94,2195,23.58302283,7.557724385,0.722979353,a,4,0.467684707,2.176807781,17.75200353,2.195,0.018192219,1.328471053
95,95,2133,20.92148288,11.564049,0.714990326,a,4,0.467684707,2.176807781,17.75200353,2.133,-0.043807781,1.178542064
96,96,2095,18.14454458,13.43553577,0.554202531,a,4,0.467684707,2.176807781,17.75200353,2.095,-0.081807781,1.022112493
97,97,2106,19.15238652,14.22037057,0.5496419,a,4,0.467684707,2.176807781,17.75200353,2.106,-0.070807781,1.078885912
98,98,2223,28.98473682,14.92494428,0.550982488,a,4,0.467684707,2.176807781,17.75200353,2.223,0.046192219,1.632758622
99,99,2263,40.24701641,16.68241835,0.376658392,a,4,0.467684707,2.176807781,17.75200353,2.263,0.086192219,2.267181636
100,100,2201,31.15052693,19.30070702,0.384429849,a,4,0.467684707,2.176807781,17.75200353,2.201,0.024192219,1.754761195
101,101,2028,5.657719627,20.48568901,0.398650536,a,4,0.467684707,2.176807781,17.75200353,2.028,-0.148807781,0.318708793
102,102,2282,39.26040333,19.1376918,0.405587196,a,4,0.467684707,2.176807781,17.75200353,2.282,0.105192219,2.211604074
103,103,2247,33.20077154,20.81458442,0.477665382,a,4,0.467684707,2.176807781,17.75200353,2.247,0.070192219,1.870254897
104,104,2175,22.72479334,21.76736805,0.298120072,a,4,0.467684707,2.176807781,17.75200353,2.175,-0.001807781,1.280125553
105,105,2072,3.38809725,21.83575557,0.295655337,a,4,0.467684707,2.176807781,17.75200353,2.072,-0.104807781,0.190857175
106,106,2014,1.266367035,20.60591168,0.316742249,a,4,0.467684707,2.176807781,17.75200353,2.014,-0.162807781,0.07133657
107,107,2007,0.245706049,19.39719014,0.272715075,a,4,0.467684707,2.176807781,17.75200353,2.007,-0.169807781,0.013841032
108,108,2124,9.370805306,18.27063225,0.288238984,a,4,0.467684707,2.176807781,17.75200353,2.124,-0.052807781,0.52787311
109,109,1932,2.284880499,17.77619742,0.447612328,a,4,0.467684707,2.176807781,17.75200353,1.932,-0.244807781,0.128711134
110,110,2078,13.68557801,16.96086495,0.455402802,a,4,0.467684707,2.176807781,17.75200353,2.078,-0.098807781,0.770931461
111,111,2331,-5,16.79710061,0.469671633,a,4,0.467684707,2.176807781,17.75200353,2.331,0.154192219,-0.281658349
112,112,2192,28.8372108,15.75914343,0.450427225,a,4,0.467684707,2.176807781,17.75200353,2.192,0.015192219,1.624448235
113,113,2044,9.848422388,16.35360104,0.453597696,a,4,0.467684707,2.176807781,17.75200353,2.044,-0.132807781,0.554778077
114,114,2297,35.4186183,16.07076719,0.468455264,a,4,0.467684707,2.176807781,17.75200353,2.297,0.120192219,1.995189909
115,115,2435,-5,16.87692765,0.490275696,a,4,0.467684707,2.176807781,17.75200353,2.435,0.258192219,-0.281658349
116,116,2141,22.53163198,16.00185054,0.533080183,a,4,0.467684707,2.176807781,17.75200353,2.141,-0.035807781,1.269244451
117,117,1957,3.706970139,16.25299598,0.460037516,a,4,0.467684707,2.176807781,17.75200353,1.957,-0.219807781,0.208819818
118,118,2023,8.272727474,15.78832836,0.462445687,a,4,0.467684707,2.176807781,17.75200353,2.023,-0.153807781,0.466016552
119,119,2243,28.38362765,15.51991404,0.599015374,a,4,0.467684707,2.176807781,17.75200353,2.243,0.066192219,1.598897139
120,120,2308,-5,15.96349037,0.575719984,a,4,0.467684707,2.176807781,17.75200353,2.308,0.131192219,-0.281658349
121,121,2008,10.79097473,NA,0.567697271,a,5,0.467684707,2.176807781,17.75200353,2.008,-0.168807781,0.607873625
122,122,2155,23.72699047,10.79097473,0.561286036,a,5,0.467684707,2.176807781,17.75200353,2.155,-0.021807781,1.336580991
123,123,2070,15.70637562,17.2589826,0.550982488,a,5,0.467684707,2.176807781,17.75200353,2.07,-0.106807781,0.884766364
124,124,2031,12.28411107,16.74144694,0.554515483,a,5,0.467684707,2.176807781,17.75200353,2.031,-0.145807781,0.691984488
125,125,2144,22.82000871,15.62711297,0.541739341,a,5,0.467684707,2.176807781,17.75200353,2.144,-0.032807781,1.285489194
126,126,2141,22.50523915,17.06569212,0.557232075,a,5,0.467684707,2.176807781,17.75200353,2.141,-0.035807781,1.267757699
127,127,2063,14.85563755,17.97228329,0.542611518,a,5,0.467684707,2.176807781,17.75200353,2.063,-0.113807781,0.836842868
128,128,2124,20.92739104,17.52704818,0.55616623,a,5,0.467684707,2.176807781,17.75200353,2.124,-0.052807781,1.17887488
