trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
79,2157,23.69132032,18.80244301,0.583585671,1483.11382,a,3,2.157,1.091946634,-0.052222969,20.54657184,2.209222969,21.69640858
80,2167,23.68204737,19.05975234,0.639385906,1506.795867,a,3,2.167,1.091519238,-0.042222969,20.54657184,2.209222969,21.69640858
81,2048,14.75374614,19.29086709,0.601000138,1521.549613,a,3,2.048,0.680008679,-0.161222969,20.54657184,2.209222969,21.69640858
82,2084,17.7418597,19.07481371,0.604902403,1539.291473,a,3,2.084,0.817732559,-0.125222969,20.54657184,2.209222969,21.69640858
83,2221,27.1798799,19.01422489,0.609700587,1566.471353,a,3,2.221,1.25273636,0.011777031,20.54657184,2.209222969,21.69640858
84,2217,26.22029397,19.36925337,0.639988243,1592.691647,a,3,2.217,1.20850849,0.007777031,20.54657184,2.209222969,21.69640858
85,2196,25.2906817,19.6547134,0.638707856,1617.982329,a,3,2.196,1.165662124,-0.013222969,20.54657184,2.209222969,21.69640858
86,2245,27.87471338,19.88015213,0.617355138,1645.857042,a,3,2.245,1.284761636,0.035777031,20.54657184,2.209222969,21.69640858
87,2234,27.76368666,20.18763525,0.608325009,1673.620729,a,3,2.234,1.27964435,0.024777031,20.54657184,2.209222969,21.69640858
88,2334,-5,20.46822975,0.632576094,1668.620729,a,3,2.334,-0.230452887,0.124777031,20.54657184,2.209222969,21.69640858
89,2154,23.27288607,19.55865012,0.602802633,1691.893615,a,3,2.154,1.072660758,-0.055222969,20.54657184,2.209222969,21.69640858
90,2027,13.35551633,19.68672722,0.613770095,1705.249131,a,3,2.027,0.61556346,-0.182222969,20.54657184,2.209222969,21.69640858
91,2182,25.14543143,nan,0.60574697,1730.394562,a,4,2.182,1.158967455,-0.027222969,20.54657184,2.209222969,21.69640858
92,2171,24.1917546,25.14543143,0.62148762,1754.586317,a,4,2.171,1.115011939,-0.038222969,20.54657184,2.209222969,21.69640858
93,2308,-5,24.66859302,0.599534218,1749.586317,a,4,2.308,-0.230452887,0.098777031,20.54657184,2.209222969,21.69640858
94,2032,14.03594538,14.77906201,0.630767213,1763.622262,a,4,2.032,0.646924828,-0.177222969,20.54657184,2.209222969,21.69640858
