,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,rad.deg,norm.deg,norm.latencysd
95,3,k,2272.966667,0.208991534,38.62751287,93.77283017,0.025331429,24.35853876,2.272966667,0.09377283,0.218995525,12.54751933,2.299999988,35.74847581,1.080535939,-0.027033321,11.97433285,-1.459342613,-1.041291465
12,4,k,2300.133333,0.20420295,39.06368835,91.2029693,0.031961425,25.72271857,2.300133333,0.091202969,0.218995525,12.54751933,2.299999988,35.74847581,1.092737172,0.000133345,11.6999672,-1.485263756,-1.113716873
33,5,k,2291.666667,0.186524943,29.78830058,126.688141,0.026513685,29.67198974,2.291666667,0.126688141,0.218995525,12.54751933,2.299999988,35.74847581,0.833274703,-0.008333321,10.68709201,-1.580956794,-0.113651872
75,1,l,2263.466667,1.069426697,20.02764452,107.9673429,0.707221579,8.83728566,2.263466667,0.107967343,0.236411999,13.54540979,2.299999983,33.85606768,0.59155259,-0.036533316,61.27363624,3.19828957,-0.641252946
96,2,l,2240.2,0.662307536,21.56938939,136.1544255,0.28575642,7.911545349,2.2402,0.136154426,0.236411999,13.54540979,2.299999983,33.85606768,0.637090804,-0.059799983,37.94742655,0.994507823,0.15313281
13,3,l,2251.966667,0.706331145,23.70689052,111.5763179,0.382594364,10.65166176,2.251966667,0.111576318,0.236411999,13.54540979,2.299999983,33.85606768,0.700225754,-0.048033316,40.46979355,1.232812563,-0.539542587
34,4,l,2239.5,0.493869639,28.72826977,98.26029822,0.139060953,7.891854698,2.2395,0.098260298,0.236411999,13.54540979,2.299999983,33.85606768,0.848541244,-0.060499983,28.29664594,0.082734567,-0.914822875
55,5,l,2269.103448,0.434967147,30.07425219,104.7375444,0.040569043,7.10026154,2.269103448,0.104737544,0.236411999,13.54540979,2.299999983,33.85606768,0.888297261,-0.030896535,24.92178175,-0.236111238,-0.732277133
76,1,m,2249.724138,0.415477893,27.85073984,108.7657695,0.112523027,10.58952724,2.249724138,0.108765769,0.187470914,10.74129217,2.299999983,49.12335267,0.566955192,-0.050275845,23.80512975,-0.341608759,-0.618751212
97,2,m,2285.866667,0.2732513,49.26644024,46.14574612,0.088413679,15.33730741,2.285866667,0.046145746,0.187470914,10.74129217,2.299999983,49.12335267,1.002912822,-0.014133316,15.65614624,-1.111497282,-2.383547318
14,3,m,2264.566667,0.227432319,44.84447642,58.24246782,0.050564987,21.26477522,2.264566667,0.058242468,0.187470914,10.74129217,2.299999983,49.12335267,0.912895273,-0.035433316,13.030912,-1.359520573,-2.042630039
35,4,m,2291.933333,0.235782209,51.29496265,51.45197515,0.037239036,14.03677023,2.291933333,0.051451975,0.187470914,10.74129217,2.299999983,49.12335267,1.044207284,-0.00806665,13.50932546,-1.31432168,-2.2340039
56,5,m,2302.833333,0.190817389,58.20003434,51.18329693,0.040716354,25.69225821,2.302833333,0.051183297,0.187470914,10.74129217,2.299999983,49.12335267,1.184773253,0.00283335,10.93303105,-1.557721301,-2.241575949
77,1,n,2187.888889,0.571882411,27.15392195,169.602552,0.321220353,20.56421987,2.187888889,0.169602552,0.263878673,15.11913429,2.299999987,32.6897624,0.830655225,-0.112111098,32.76644853,0.505026465,1.095788525
98,2,n,2291.566667,0.428437908,25.91967463,138.4509582,0.183507461,14.51093684,2.291566667,0.138450958,0.263878673,15.11913429,2.299999987,32.6897624,0.792898838,-0.00843332,24.54768391,-0.271454742,0.217855091
15,3,n,2334.172414,0.490427074,30.7104366,104.4844722,0.247300845,12.60957775,2.334172414,0.104484472,0.263878673,15.11913429,2.299999987,32.6897624,0.939451203,0.034172427,28.0994015,0.064099576,-0.739409364
36,4,n,2308.4,0.344536909,32.97505572,101.8208704,0.074401855,14.01321367,2.3084,0.10182087,0.263878673,15.11913429,2.299999987,32.6897624,1.008727299,0.008400013,19.74051077,-0.725620273,-0.814476639
57,5,n,2301.833333,0.316136381,36.87015248,83.12934804,0.062531882,12.98913462,2.301833333,0.083129348,0.263878673,15.11913429,2.299999987,32.6897624,1.127880712,0.001833346,18.11328038,-0.879355522,-1.341252639
78,1,o,1986.172414,1.307251498,10.39977657,392.8643049,0.430669962,5.009579406,1.986172414,0.392864305,0.543011608,31.11227335,2.299999983,17.34192944,0.599689706,-0.313827569,74.8999936,4.485661931,7.387888934
99,2,o,2205.275862,0.911126139,17.20390056,259.8973556,0.264823145,6.046725813,2.205275862,0.259897356,0.543011608,31.11227335,2.299999983,17.34192944,0.992040743,-0.094724121,52.20368237,2.341390869,3.640532376
16,3,o,2187.966667,0.646169462,18.40144576,291.8181393,0.209972276,10.17070308,2.187966667,0.291818139,0.543011608,31.11227335,2.299999983,17.34192944,1.061095642,-0.112033316,37.02278302,0.907150616,4.540143569
37,4,o,2135.482759,0.594635249,16.13253065,271.1298609,0.09004368,10.24098707,2.135482759,0.271129861,0.543011608,31.11227335,2.299999983,17.34192944,0.930261578,-0.164517224,34.07009012,0.628190132,3.957093759
58,5,o,2140.586207,0.604634002,18.66592957,219.054709,0.062793999,10.11550608,2.140586207,0.219054709,0.543011608,31.11227335,2.299999983,17.34192944,1.07634676,-0.159413776,34.64297646,0.682314506,2.489479711
100,1,q,2084.133333,0.788043732,15.51810478,140.9347448,0.498733311,8.164956577,2.084133333,0.140934745,0.35131981,20.1291424,2.299999985,24.35959569,0.637042789,-0.215866652,45.15157992,1.675131975,0.287854708
17,2,q,2048.034483,0.971999028,13.94186795,183.7230996,0.490133708,6.716694401,2.048034483,0.1837231,0.35131981,20.1291424,2.299999985,24.35959569,0.57233577,-0.251965502,55.691442,2.670902654,1.493742517
38,3,q,2118.724138,0.705790631,17.70472032,154.1654715,0.266060486,7.288522291,2.118724138,0.154165472,0.35131981,20.1291424,2.299999985,24.35959569,0.726806822,-0.181275847,40.43882438,1.2298867,0.660731216
59,4,q,2219.733333,0.464341574,24.60576416,145.1759772,0.116810849,11.13505634,2.219733333,0.145175977,0.35131981,20.1291424,2.299999985,24.35959569,1.010105606,-0.080266652,26.60481244,-0.077104165,0.407383724
80,5,q,2295.068966,0.41572042,24.54616119,171.5254939,0.069255488,12.6011703,2.295068966,0.171525494,0.35131981,20.1291424,2.299999985,24.35959569,1.007658809,-0.004931019,23.81902552,-0.340295933,1.149982062
101,1,r,2273.566667,0.334484724,25.35646479,194.6125564,0.117385787,18.73096442,2.273566667,0.194612556,0.311630835,17.8551316,2.299999983,28.36054428,0.894075394,-0.026433316,19.164563,-0.78003388,1.800635881
18,2,r,2264.266667,0.451666021,25.20771663,158.0242088,0.523165412,22.90191137,2.264266667,0.158024209,0.311630835,17.8551316,2.299999983,28.36054428,0.888830496,-0.035733316,25.87855675,-0.145718357,0.769480522
39,3,r,2309.233333,0.356060554,24.12572825,139.0895726,0.143097931,16.66222187,2.309233333,0.139089573,0.311630835,17.8551316,2.299999983,28.36054428,0.85067931,0.00923335,20.400767,-0.663241489,0.235852933
60,4,r,2294.7,0.213373021,23.78971795,134.186476,0.059938182,23.25900762,2.2947,0.134186476,0.311630835,17.8551316,2.299999983,28.36054428,0.838831502,-0.005299983,12.22537357,-1.435625132,0.09767083
81,5,r,2329.666667,0.157466111,24.19245414,148.320095,0.080110703,38.5200328,2.329666667,0.148320095,0.311630835,17.8551316,2.299999983,28.36054428,0.853032082,0.029666684,9.022143577,-1.738255515,0.495993197
102,1,s,2238.827586,0.376984162,30.06658735,100.9020278,0.394116273,38.02246467,2.238827586,0.100902028,0.282190008,16.16829646,2.299999984,35.74449441,0.841152962,-0.061172398,21.59960143,-0.549979648,-0.840372011
19,2,s,2224,0.528934233,27.76066493,107.8469541,0.413801114,32.07941967,2.224,0.107846954,0.282190008,16.16829646,2.299999984,35.74449441,0.776641701,-0.075999984,30.30569919,0.272543153,-0.644645823
40,3,s,2248.933333,0.564360626,27.53700802,102.373196,0.181392175,6.184943317,2.248933333,0.102373196,0.282190008,16.16829646,2.299999984,35.74449441,0.7703846,-0.051066651,32.33548199,0.464310198,-0.798910647
61,4,s,2282.4,0.254474716,45.97691299,59.78213319,0.099479314,16.63996945,2.2824,0.059782133,0.282190008,16.16829646,2.299999984,35.74449441,1.286265585,-0.017599984,14.58032722,-1.21313704,-1.99923825
82,5,s,2270.8,0.18346549,33.33125469,99.64917772,0.100269187,38.97234455,2.2708,0.099649178,0.282190008,16.16829646,2.299999984,35.74449441,0.932486394,-0.029199984,10.51179826,-1.597517956,-0.875680602
103,1,t,2301.266667,0.615110639,28.8757109,107.0603869,0.587283423,9.068441538,2.301266667,0.107060387,0.217347512,12.45309514,2.299999978,35.97423598,0.802677531,0.001266689,35.24324355,0.739025718,-0.666813339
20,2,t,2272.166667,0.377878318,32.4189044,103.0159289,0.068497959,10.26135634,2.272166667,0.103015929,0.217347512,12.45309514,2.299999978,35.97423598,0.90117006,-0.027833311,21.65083279,-0.545139482,-0.780796749
41,3,t,2331.866667,0.419245927,28.64064364,121.9903143,0.07252532,10.67153629,2.331866667,0.121990314,0.217347512,12.45309514,2.299999978,35.97423598,0.796143208,0.031866689,24.0210222,-0.321211968,-0.246048929
62,4,t,2279.4,0.372405427,34.88673559,91.51544057,0.045197549,10.34732496,2.2794,0.091515441,0.217347512,12.45309514,2.299999978,35.97423598,0.969770021,-0.020599978,21.33725923,-0.574764855,-1.104910594
83,5,t,2297.666667,0.34436483,34.31008627,95.1736465,0.022682958,9.495512588,2.297666667,0.095173647,0.217347512,12.45309514,2.299999978,35.97423598,0.953740513,-0.002333311,19.73065137,-0.726551756,-1.001812777
21,1,u,2155.066667,1.147851565,14.77639006,293.8042902,0.542327452,6.627433704,2.155066667,0.29380429,0.506441657,29.01696953,2.299999985,18.28278462,0.80821332,-0.144933318,65.76705018,3.622812189,4.596118501
42,2,u,2160.333333,0.799262956,16.16142853,269.9036014,0.071481107,6.684551844,2.160333333,0.269903601,0.506441657,29.01696953,2.299999985,18.28278462,0.883969749,-0.139666652,45.7943941,1.735862895,3.922534544
63,3,u,2192.428571,0.814657938,15.68943934,213.4693019,0.254172785,6.25141716,2.192428571,0.213469302,0.506441657,29.01696953,2.299999985,18.28278462,0.858153704,-0.107571414,46.67646159,1.819197661,2.332068326
84,4,u,2338,0.862219226,17.77046486,322.4209759,0.054968515,4.967084314,2.338,0.322420976,0.506441657,29.01696953,2.299999985,18.28278462,0.971978024,0.038000015,49.40152266,2.076652256,5.402611594
105,5,u,2291.466667,0.829781722,19.26727523,206.5135436,0.054813921,4.396986697,2.291466667,0.206513544,0.506441657,29.01696953,2.299999985,18.28278462,1.053847958,-0.008533318,47.54299059,1.901064403,2.136036865
