trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
10,2585,14.80702638,13.583855,0.826907852,137.0617214,d,1,2.585,0.567043271,0.21639398,16.21516887,2.36860602,26.11269216
11,2561,15.85699238,13.70617214,0.923307203,152.9187137,d,1,2.561,0.6072523,0.19239398,16.21516887,2.36860602,26.11269216
12,NA,NA,NA,NA,NA,d,1,NA,NA,NA,NA,NA,NA
13,2591,14.75039597,12.32655948,0.974597185,162.6691097,d,1,2.591,0.564874578,0.22239398,16.21516887,2.36860602,26.11269216
14,2597,14.34415927,12.51300844,1.116077052,177.013269,d,1,2.597,0.549317519,0.22839398,16.21516887,2.36860602,26.11269216
15,2525,16.97238847,12.64380493,0.951078473,193.9856574,d,1,2.525,0.649967011,0.15639398,16.21516887,2.36860602,26.11269216
16,2494,18.9642604,12.93237716,0.805132443,212.9499178,d,1,2.494,0.726246849,0.12539398,16.21516887,2.36860602,26.11269216
17,2553,13.83218152,13.30936986,0.560788693,226.7820994,d,1,2.553,0.529711048,0.18439398,16.21516887,2.36860602,26.11269216
18,2596,14.31584423,13.34012349,0.831237589,241.0979436,d,1,2.596,0.548233179,0.22739398,16.21516887,2.36860602,26.11269216
19,2597,10.71648174,13.3943302,0.578667986,251.8144253,d,1,2.597,0.4103936,0.22839398,16.21516887,2.36860602,26.11269216
20,2539,16.54675044,13.25339081,0.946080369,268.3611758,d,1,2.539,0.633666967,0.17039398,16.21516887,2.36860602,26.11269216
21,2541,16.80734056,13.41805879,0.833903776,285.1685163,d,1,2.541,0.64364641,0.17239398,16.21516887,2.36860602,26.11269216
22,2553,15.04599755,13.57945316,1.191046379,300.2145139,d,1,2.553,0.576194804,0.18439398,16.21516887,2.36860602,26.11269216
23,2556,14.13499455,13.64611427,0.585780385,314.3495084,d,1,2.556,0.54130744,0.18739398,16.21516887,2.36860602,26.11269216
24,2580,6.490963741,13.66736993,0.428989959,320.8404722,d,1,2.58,0.248575049,0.21139398,16.21516887,2.36860602,26.11269216
25,2554,16.00508073,13.36835301,0.731821725,336.8455529,d,1,2.554,0.612923426,0.18539398,16.21516887,2.36860602,26.11269216
26,2538,15.96489046,13.47382212,0.606094719,352.8104434,d,1,2.538,0.611384317,0.16939398,16.21516887,2.36860602,26.11269216
27,2555,15.29075598,13.56963244,1.130490781,368.1011993,d,1,2.555,0.585567964,0.18639398,16.21516887,2.36860602,26.11269216
28,2555,15.98359702,13.63337775,0.739167782,384.0847964,d,1,2.555,0.612100695,0.18639398,16.21516887,2.36860602,26.11269216
29,2558,13.68764278,13.71731416,0.572966143,397.7724391,d,1,2.558,0.524175857,0.18939398,16.21516887,2.36860602,26.11269216
30,2554,0,13.716291,0.1,397.7724391,d,1,2.554,0,0.18539398,16.21516887,2.36860602,26.11269216
31,2540,15.31867968,nan,1.186811703,413.0911188,d,2,2.54,0.586637317,0.17139398,16.21516887,2.36860602,26.11269216
32,2417,23.29134552,15.31867968,0.713422398,436.3824643,d,2,2.417,0.891954969,0.04839398,16.21516887,2.36860602,26.11269216
33,2555,10.29567121,19.3050126,0.461359283,446.6781355,d,2,2.555,0.394278428,0.18639398,16.21516887,2.36860602,26.11269216
34,2354,17.89041207,16.3018988,1.164307098,464.5685476,d,2,2.354,0.685123233,-0.01460602,16.21516887,2.36860602,26.11269216
35,2338,35.81362894,16.69902712,0.1,500.3821766,d,2,2.338,1.371502744,-0.03060602,16.21516887,2.36860602,26.11269216
36,2299,-5,20.52194748,0.752200033,495.3821766,d,2,2.299,-0.191477768,-0.06960602,16.21516887,2.36860602,26.11269216
37,2427,26.367705,16.26828957,0.431326305,521.7498816,d,2,2.427,1.009765858,0.05839398,16.21516887,2.36860602,26.11269216
38,2490,2.525897956,17.7110632,0.236404382,524.2757795,d,2,2.49,0.09673066,0.12139398,16.21516887,2.36860602,26.11269216
39,2311,18.69550218,15.81291755,1.107148718,542.9712817,d,2,2.311,0.715954604,-0.05760602,16.21516887,2.36860602,26.11269216
40,2504,18.72260429,16.13320473,0.764253279,561.693886,d,2,2.504,0.716992495,0.13539398,16.21516887,2.36860602,26.11269216
41,NA,NA,NA,NA,NA,d,2,NA,NA,NA,NA,NA,NA
42,2547,16.28734621,14.44740426,0.944534889,572.9812322,d,2,2.547,0.623732938,0.17839398,16.21516887,2.36860602,26.11269216
43,2470,21.29873004,14.60073275,0.638534262,594.2799622,d,2,2.47,0.815646656,0.10139398,16.21516887,2.36860602,26.11269216
44,2512,12.69241755,15.11596331,0.407393032,606.9723798,d,2,2.512,0.486063156,0.14339398,16.21516887,2.36860602,26.11269216
45,2539,16.93529099,14.9428529,0.771605935,623.9076708,d,2,2.539,0.648546342,0.17039398,16.21516887,2.36860602,26.11269216
46,2407,0.002799839,15.07568211,0.1,623.9104706,d,2,2.407,0.000107221,0.03839398,16.21516887,2.36860602,26.11269216
47,2531,17.02624095,14.13362697,0.896718514,640.9367116,d,2,2.531,0.652029321,0.16239398,16.21516887,2.36860602,26.11269216
48,NA,NA,NA,NA,NA,d,2,NA,NA,NA,NA,NA,NA
49,2557,6.242515518,13.23134847,0.385248889,642.1792271,d,2,2.557,0.239060587,0.18839398,16.21516887,2.36860602,26.11269216
50,2551,16.36697006,12.86351516,0.813961821,658.5461971,d,2,2.551,0.626782178,0.18239398,16.21516887,2.36860602,26.11269216
51,2547,8.53332504,13.0386879,0.408686834,667.0795222,d,2,2.547,0.326788406,0.17839398,16.21516887,2.36860602,26.11269216
52,2512,18.26378705,12.82414681,0.63412372,685.3433092,d,2,2.512,0.699421834,0.14339398,16.21516887,2.36860602,26.11269216
53,NA,NA,NA,NA,NA,d,2,NA,NA,NA,NA,NA,NA
54,2552,15.29423487,12.28569,1.143792186,695.6375441,d,2,2.552,0.58570119,0.18339398,16.21516887,2.36860602,26.11269216
55,2332,53.26630437,12.41104604,0.1,748.9038485,d,2,2.332,2.039862609,-0.03660602,16.21516887,2.36860602,26.11269216
56,2439,24.1594204,14.04525637,0.569057502,773.0632689,d,2,2.439,0.925198377,0.07039398,16.21516887,2.36860602,26.11269216
57,2460,0.000468946,14.43426268,0.123916974,773.0637378,d,2,2.46,1.80E-05,0.09139398,16.21516887,2.36860602,26.11269216
58,2520,17.25221256,13.89967773,0.928881259,790.3159504,d,2,2.52,0.660683029,0.15139398,16.21516887,2.36860602,26.11269216
