trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
110,2232,39.30942729,40.69369948,0.313119449,3439.898878,a,4,2.232,1.051858296,-0.067999982,11.91457154,2.299999982,37.37140968
111,2222,37.06483982,40.62448588,0.291834295,3476.963717,a,4,2.222,0.991796674,-0.077999982,11.91457154,2.299999982,37.37140968
112,2357,42.53573067,40.45497892,0.302090167,3519.499448,a,4,2.357,1.138189087,0.057000018,11.91457154,2.299999982,37.37140968
113,2378,36.86702528,40.54955855,0.308052781,3556.366473,a,4,2.378,0.986503469,0.078000018,11.91457154,2.299999982,37.37140968
114,2215,34.92713099,40.3894484,0.307567108,3591.293604,a,4,2.215,0.934594956,-0.084999982,11.91457154,2.299999982,37.37140968
115,2234,40.68272113,40.16185184,0.291456794,3631.976325,a,4,2.234,1.088605473,-0.065999982,11.91457154,2.299999982,37.37140968
116,2306,48.99364904,40.18268662,0.308930744,3680.969974,a,4,2.306,1.310992801,0.006000018,11.91457154,2.299999982,37.37140968
117,2281,46.62483937,40.52156979,0.323089242,3727.594814,a,4,2.281,1.247607189,-0.018999982,11.91457154,2.299999982,37.37140968
118,2338,48.66498973,40.74761681,0.281232202,3776.259804,a,4,2.338,1.302198396,0.038000018,11.91457154,2.299999982,37.37140968
119,2214,34.53392689,41.03038013,0.291113152,3810.79373,a,4,2.214,0.924073434,-0.085999982,11.91457154,2.299999982,37.37140968
120,2512,4.013551316,40.8063645,0.283943519,3814.807282,a,4,2.512,0.107396305,0.212000018,11.91457154,2.299999982,37.37140968
121,2099,5.957439889,nan,0.292856864,3820.764722,a,5,2.099,0.159411698,-0.200999982,11.91457154,2.299999982,37.37140968
122,2246,43.65605292,5.957439889,0.296005171,3864.420775,a,5,2.246,1.168167144,-0.053999982,11.91457154,2.299999982,37.37140968
123,2252,45.63292742,24.80674641,0.289056559,3910.053702,a,5,2.252,1.221065189,-0.047999982,11.91457154,2.299999982,37.37140968
124,2361,41.72712798,31.74880674,0.298731598,3951.78083,a,5,2.361,1.116552154,0.061000018,11.91457154,2.299999982,37.37140968
125,2179,23.65908641,34.24338705,0.294971243,3975.439916,a,5,2.179,0.633079849,-0.120999982,11.91457154,2.299999982,37.37140968
126,2425,20.47927045,32.12652692,0.274074927,3995.919187,a,5,2.425,0.547992988,0.125000018,11.91457154,2.299999982,37.37140968
127,2153,13.75984103,30.18531751,0.271111622,4009.679028,a,5,2.153,0.368191651,-0.146999982,11.91457154,2.299999982,37.37140968
128,2285,54.19573883,27.83882087,0.268546375,4063.874767,a,5,2.285,1.450192521,-0.014999982,11.91457154,2.299999982,37.37140968
129,2292,51.50867496,31.13343562,0.289724895,4115.383442,a,5,2.292,1.378290929,-0.007999982,11.91457154,2.299999982,37.37140968
130,2130,11.4089978,33.3973511,0.296924956,4126.792439,a,5,2.13,0.305286793,-0.169999982,11.91457154,2.299999982,37.37140968
131,2252,45.68429472,31.19851577,0.288429559,4172.476734,a,5,2.252,1.222439697,-0.047999982,11.91457154,2.299999982,37.37140968
132,2165,19.09741141,32.51540476,0.289633088,4191.574146,a,5,2.165,0.511016619,-0.134999982,11.91457154,2.299999982,37.37140968
133,2302,51.63304811,31.39723865,0.290033814,4243.207194,a,5,2.302,1.381618958,0.002000018,11.91457154,2.299999982,37.37140968
134,2371,38.84661149,32.95383938,0.304510883,4282.053805,a,5,2.371,1.039474075,0.071000018,11.91457154,2.299999982,37.37140968
135,2343,44.10450979,33.37475167,0.319105058,4326.158315,a,5,2.343,1.180167143,0.043000018,11.91457154,2.299999982,37.37140968
136,2122,8.321901692,34.09006888,0.281518039,4334.480217,a,5,2.122,0.222680968,-0.177999982,11.91457154,2.299999982,37.37140968
137,2303,50.50717404,32.47955843,0.297945528,4384.987391,a,5,2.303,1.351492343,0.003000018,11.91457154,2.299999982,37.37140968
138,2352,43.52654767,33.54000641,0.304510883,4428.513938,a,5,2.352,1.164701788,0.052000018,11.91457154,2.299999982,37.37140968
139,2239,40.87967646,34.09481426,0.314675201,4469.393615,a,5,2.239,1.093875688,-0.060999982,11.91457154,2.299999982,37.37140968
140,2298,51.67771664,34.45191227,0.289724895,4521.071331,a,5,2.298,1.382814218,-0.001999982,11.91457154,2.299999982,37.37140968
141,2320,51.5151838,35.31320249,0.28277947,4572.586515,a,5,2.32,1.378465095,0.020000018,11.91457154,2.299999982,37.37140968
142,2423,22.45598909,36.08472541,0.287783042,4595.042504,a,5,2.423,0.600886862,0.123000018,11.91457154,2.299999982,37.37140968
143,2313,55.33171883,35.46523739,0.262850702,4650.374223,a,5,2.313,1.480589555,0.013000018,11.91457154,2.299999982,37.37140968
144,2344,47.60629504,36.32899745,0.277769155,4697.980518,a,5,2.344,1.273869395,0.044000018,11.91457154,2.299999982,37.37140968
145,2518,3.546217334,36.79888485,0.285181498,4701.526736,a,5,2.518,0.094891185,0.218000018,11.91457154,2.299999982,37.37140968
146,2195,28.28351054,35.46877815,0.289271006,4729.810246,a,5,2.195,0.756822148,-0.104999982,11.91457154,2.299999982,37.37140968
147,2398,31.02859891,35.19242171,0.301703115,4760.838845,a,5,2.398,0.830276384,0.098000018,11.91457154,2.299999982,37.37140968
148,2325,50.51047157,35.03820605,0.285380151,4811.349317,a,5,2.325,1.35158058,0.025000018,11.91457154,2.299999982,37.37140968
149,2216,35.21967132,35.59078696,0.301703115,4846.568988,a,5,2.216,0.942422874,-0.083999982,11.91457154,2.299999982,37.37140968
150,2163,18.03305713,35.57798987,0.284730439,4864.602045,a,5,2.163,0.482536176,-0.136999982,11.91457154,2.299999982,37.37140968
